channel,mean_fA,rms_fA,std_fA,skew,kurtosis
SXR1,6.2438535881e+05,6.2438559195e+05,5.3957359226e+02,-4.8793604637e-01,2.7318085307e+00
SXR2,5.4093407290e+04,5.4093437302e+04,5.6981870872e+01,1.8356254846e-01,1.2220068921e-01
SXR3,5.4306624502e+04,5.4306657236e+04,5.9627064357e+01,2.8991976093e-02,-1.5393333829e-02
SXR4,5.3596267743e+04,5.3596297075e+04,5.6072936828e+01,-6.2249189150e-02,-9.9628952475e-02
HXR,6.8386965052e+05,6.8387006003e+05,7.4839814245e+02,1.0585929671e-01,1.0780773368e-02
EUV,7.7276120328e+05,7.7276185631e+05,1.0046205898e+03,1.3260090042e-01,-3.4390217628e-01
