channel,mean_fA,rms_fA,std_fA,skew,kurtosis
SXR1,1.0083725563e-14,2.6063709489e+02,2.6063709489e+02,-1.0610136456e+00,2.2946702792e+01
SXR2,3.5557737265e-15,5.2788155259e+01,5.2788155259e+01,1.3642458198e-01,3.8992138788e-02
SXR3,-2.8272245546e-15,5.6206328607e+01,5.6206328607e+01,3.4914025184e-02,-2.5522373071e-02
SXR4,1.2604656953e-17,5.2999429621e+01,5.2999429621e+01,-3.0851978742e-02,-7.2751319037e-02
HXR,6.8703783500e-15,7.0286713977e+02,7.0286713977e+02,6.3366361910e-02,2.6221490191e-02
EUV,1.9203033270e-14,8.2739287797e+02,8.2739287797e+02,-1.6752469063e-02,-1.2738044852e-01
