channel,mean_fA,rms_fA,std_fA,skew,kurtosis
SXR1,5.4264925469e+04,5.4264962024e+04,6.2986427043e+01,8.3630674019e-02,-1.4156550086e-01
SXR2,5.3759465893e+04,5.3759530073e+04,8.3069736241e+01,6.3526873644e-01,1.3882024234e+01
SXR3,5.3991985571e+04,5.3992014466e+04,5.5858901080e+01,-1.5887901563e-02,1.1705331573e-01
SXR4,5.3238200043e+04,5.3238248214e+04,7.1617678716e+01,5.2572672339e-04,-2.3516238288e-01
HXR,6.7940921340e+05,6.7940961999e+05,7.4328987794e+02,-3.9512436455e-02,3.4925013150e-02
EUV,7.6806545385e+05,7.6806623946e+05,1.0985460451e+03,2.0832783352e-01,-2.3160008679e-01
