channel,mean_fA,rms_fA,std_fA,skew,kurtosis
SXR1,1.3329152414e-16,4.6884288129e+01,4.6884288129e+01,-1.9937725952e-03,8.9089964750e-02
SXR2,7.1696562342e-16,4.6862997471e+01,4.6862997471e+01,3.3326934197e-02,1.4416801419e-02
SXR3,4.8249051584e-16,5.3990903759e+02,5.3990903759e+02,3.8088944085e+02,1.6054474267e+05
SXR4,4.7960817461e-16,4.4730054373e+01,4.4730054373e+01,1.2534869942e-01,2.1595352886e-02
HXR,2.1850976737e-14,7.8834609534e+02,7.8834609534e+02,1.4740948656e-02,4.6225330982e-02
EUV,-1.5887973615e-14,7.2071690832e+02,7.2071690832e+02,5.7140326282e-03,5.0090202034e-02
