channel,mean_fA,rms_fA,std_fA,skew,kurtosis
SXR1,-1.9210380259e-15,4.9255653663e+01,4.9255653663e+01,1.9060538788e-02,3.8582552581e-02
SXR2,-2.3100898561e-15,7.0352927538e+01,7.0352927538e+01,6.5925886049e-01,2.2707532584e+01
SXR3,-6.3933679505e-16,4.9370031980e+01,4.9370031980e+01,-6.5312007191e-02,8.1110953024e-03
SXR4,-1.2675722409e-15,6.5073258010e+01,6.5073258010e+01,-8.3926986180e-03,-1.8822601563e-01
HXR,-2.4804226794e-15,6.4430522319e+02,6.4430522319e+02,-1.3318424172e-02,7.2836371125e-03
EUV,-2.5551734894e-14,8.3542147969e+02,8.3542147969e+02,2.8915306507e-02,-8.6469025201e-02
